transaction_id,timestamp,store_id,city,country,store_type,product_category,product_name,unit_price,quantity,discount_applied,payment_method,customer_id,customer_age_group,customer_gender,loyalty_member,weather_condition,temperature_c,holiday_name,total_amount,hour,day,month
10001,2023-01-01 00:39:39,35,Melbourne,AUS,Mall Kiosk,Coffee,Double Espresso,3.04,1,True,Credit Card,qiyfrwsk,35-44,Female,False,Sunny,22.2,New Year's Day,2.74,0,Sunday,1
10002,2023-01-01 01:06:53,25,Manchester,UK,Standalone,Coffee,Single Espresso,2.38,2,False,Debit Card,vf0jqqnv,18-24,Male,False,Sunny,8.7,New Year's Day,4.76,1,Sunday,1
10003,2023-01-01 02:56:18,23,Manchester,UK,Standalone,Tea,Large Matcha Latte,4.26,2,False,Mobile Wallet,fcd6mzsg,25-34,Male,False,Sunny,8.7,New Year's Day,8.52,2,Sunday,1
10004,2023-01-01 02:58:30,38,Toronto,CAN,Standalone,Coffee,Medium Cappuccino,3.68,2,False,Credit Card,jvu2cgxu,55-64,Female,True,Cloudy,-6.5,New Year's Day,7.36,2,Sunday,1
10005,2023-01-01 03:13:53,9,Los Angeles,USA,Mall Kiosk,Coffee,Small Cappuccino,3.42,1,False,Mobile Wallet,po4ljedg,18-24,Male,True,Sunny,12.3,New Year's Day,3.42,3,Sunday,1
10006,2023-01-01 03:23:03,42,Vancouver,CAN,Standalone,Tea,Large Green Tea,3.01,1,False,Cash,2eclces1,25-34,Female,False,Sunny,2.8,New Year's Day,3.01,3,Sunday,1
10007,2023-01-01 03:42:51,12,Chicago,USA,Airport,Tea,Medium Earl Grey,3.32,1,False,Cash,4es3aofc,65+,Male,True,Sunny,-4.7,New Year's Day,3.32,3,Sunday,1
10008,2023-01-01 04:04:29,21,Manchester,UK,Standalone,Coffee,Large Cappuccino,3.77,2,False,Credit Card,c8nog85d,55-64,Unknown,False,Sunny,8.7,New Year's Day,7.54,4,Sunday,1
10009,2023-01-01 04:26:29,27,Sydney,AUS,Standalone,Tea,Large Matcha Latte,5.72,1,False,Credit Card,pceo934t,Unknown,Female,False,Cloudy,16.6,New Year's Day,5.72,4,Sunday,1
10010,2023-01-01 05:41:05,7,Los Angeles,USA,Standalone,Coffee,Large Cappuccino,4.51,2,False,Cash,idbx287g,35-44,Female,False,Sunny,12.3,New Year's Day,9.02,5,Sunday,1
10011,2023-01-01 06:02:19,40,Toronto,CAN,Standalone,Sandwich,Ham & Cheese Croissant,5.06,1,False,Credit Card,yj38xrg2,25-34,Female,False,Cloudy,-6.5,New Year's Day,5.06,6,Sunday,1
10012,2023-01-01 06:16:26,1,New York,USA,Standalone,Coffee,Small Mocha,4.05,1,True,Credit Card,g4gks6r6,18-24,Male,False,Sunny,-1.1,New Year's Day,3.64,6,Sunday,1
10013,2023-01-01 06:28:48,20,London,UK,Standalone,Sandwich,Ham & Cheese Croissant,4.67,2,False,Credit Card,gnzs43c5,18-24,Male,False,Unknown,13.556550310167173,New Year's Day,9.34,6,Sunday,1
10014,2023-01-01 06:31:28,28,Sydney,AUS,Mall Kiosk,Coffee,Large Mocha,5.55,2,False,Cash,k2vmwwyz,45-54,Female,False,Cloudy,16.6,New Year's Day,11.1,6,Sunday,1
10015,2023-01-01 06:47:03,5,New York,USA,Standalone,Smoothie,Medium Berry Blast,5.5,1,False,Cash,xlpu0dk0,25-34,Male,False,Sunny,-1.1,New Year's Day,5.5,6,Sunday,1
10016,2023-01-01 06:49:30,6,Los Angeles,USA,Standalone,Coffee,Medium Latte,3.92,1,False,Credit Card,5zjaucyh,25-34,Male,True,Sunny,12.3,New Year's Day,3.92,6,Sunday,1
10017,2023-01-01 06:55:48,30,Sydney,AUS,Standalone,Coffee,Medium Latte,4.4,1,False,Mobile Wallet,g3fye4hq,25-34,Male,False,Cloudy,16.6,New Year's Day,4.4,6,Sunday,1
10018,2023-01-01 06:57:09,43,Vancouver,CAN,Standalone,Pastry,Blueberry Muffin,2.82,1,False,Debit Card,p35t54gy,25-34,Male,False,Sunny,2.8,New Year's Day,2.82,6,Sunday,1
10019,2023-01-01 07:05:57,27,Sydney,AUS,Standalone,Coffee,Double Espresso,3.19,1,False,Credit Card,4ldimsyj,65+,Male,False,Cloudy,16.6,New Year's Day,3.19,7,Sunday,1
10020,2023-01-01 07:08:02,1,New York,USA,Standalone,Tea,Small Earl Grey,2.5,1,False,Cash,0cv3tlcx,25-34,Unknown,False,Sunny,-1.1,New Year's Day,2.5,7,Sunday,1
10021,2023-01-01 07:17:45,4,New York,USA,Mall Kiosk,Sandwich,Ham & Cheese Croissant,5.33,1,False,Cash,96mj9n6e,35-44,Female,False,Sunny,-1.1,New Year's Day,5.33,7,Sunday,1
10022,2023-01-01 07:23:03,18,London,UK,Mall Kiosk,Tea,Small Green Tea,2.06,1,False,Credit Card,wgi8y042,55-64,Male,False,Sunny,5.2,New Year's Day,2.06,7,Sunday,1
10023,2023-01-01 07:26:58,18,London,UK,Mall Kiosk,Sandwich,Vegan Falafel Wrap,4.95,2,False,Mobile Wallet,e9vifttd,65+,Female,False,Sunny,5.2,New Year's Day,9.9,7,Sunday,1
10024,2023-01-01 07:47:51,17,London,UK,Standalone,Merchandise,Tote Bag,12.75,2,False,Credit Card,x7n89lta,25-34,Female,False,Sunny,5.2,New Year's Day,25.5,7,Sunday,1
10025,2023-01-01 07:48:37,43,Vancouver,CAN,Standalone,Coffee,Large Mocha,4.89,4,True,Debit Card,c2rh2xk2,35-44,Female,True,Sunny,2.8,New Year's Day,17.6,7,Sunday,1
10026,2023-01-01 07:53:16,11,Chicago,USA,Standalone,Coffee,Large Cappuccino,4.37,4,False,Cash,jd2v1l1v,25-34,Female,False,Sunny,-4.7,New Year's Day,17.48,7,Sunday,1
10027,2023-01-01 07:56:46,9,Los Angeles,USA,Mall Kiosk,Coffee,Medium Latte,3.8,3,False,Credit Card,0m3loufh,45-54,Female,False,Sunny,12.3,New Year's Day,11.4,7,Sunday,1
10028,2023-01-01 08:00:14,19,London,UK,Standalone,Coffee,Medium Cappuccino,3.4,2,False,Credit Card,wc0bogwh,35-44,Male,False,Sunny,5.2,New Year's Day,6.8,8,Sunday,1
10029,2023-01-01 08:01:14,24,Manchester,UK,Standalone,Coffee,Small Mocha,3.32,4,True,Mobile Wallet,qpgb7r3o,18-24,Female,True,Unknown,13.556550310167173,New Year's Day,11.95,8,Sunday,1
